# Sat Feb 18 01:08:21 2017
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

34600 8 2.09693 27 0.880878 2.0285 
34700 9 2.10073 24 0.849416 1.99983 
34800 9 2.08048 21 0.862989 2.015 
34900 9 2.16944 24 0.765071 1.88095 
35000 9 2.16528 25 0.828755 1.95851 
35100 9 2.12598 26 0.802836 1.93134 
35200 9 2.10858 21 0.803019 1.91904 
35300 9 1.99952 21 0.919746 2.08197 
35400 8 2.18177 21 0.797681 1.90815 
35500 9 2.10344 22 0.902617 2.04704 
35600 9 2.15096 22 0.749054 1.84877 
35700 8 2.03725 20 0.82052 1.93954 
35800 9 2.15256 22 0.764482 1.84427 
35900 9 2.15252 25 0.797401 1.89688 
36000 8 2.04397 25 0.842632 1.96893 
36100 9 2.10429 25 0.797955 1.9025 
36200 9 2.02091 22 0.887982 2.03822 
36300 9 2.25584 23 0.753398 1.81076 
36400 8 2.01257 24 0.880179 2.0358 
36500 9 2.20413 20 0.771537 1.85194 
36600 10 2.04561 24 0.82442 1.95869 
36700 9 2.21649 20 0.765078 1.85025 
36800 9 2.14772 25 0.847453 1.97975 
36900 9 2.17303 22 0.836891 1.96311 
37000 9 2.18653 24 0.788743 1.89699 
37100 8 2.01936 21 0.874532 2.02993 
37200 8 2.12968 24 0.772385 1.87841 
37300 8 2.12177 24 0.779448 1.88737 
37400 8 2.16402 24 0.769872 1.86604 
37500 7 2.10224 25 0.792769 1.90935 
37600 8 2.09307 25 0.793768 1.90827 
37700 8 2.17615 25 0.772894 1.87889 
37800 9 2.20016 26 0.791792 1.90132 
37900 9 2.16043 24 0.773779 1.8915 
38000 9 2.19934 23 0.818991 1.95053 
38100 9 2.24044 24 0.794345 1.90836 
38200 9 2.25111 21 0.816131 1.93663 
38300 8 2.24659 23 0.801303 1.91109 
38400 8 2.18158 19 0.78557 1.89618 
38500 8 2.19223 23 0.734856 1.83972 
38600 8 2.22735 21 0.800611 1.90536 
38700 8 2.28645 23 0.73591 1.82942 
38800 8 2.17796 21 0.808929 1.92912 
38900 8 2.14725 23 0.780115 1.91087 
39000 8 2.27317 23 0.729081 1.80992 
39100 8 2.20935 24 0.825448 1.95308 
39200 8 2.29616 26 0.676689 1.74061 
39300 8 2.21816 24 0.808059 1.91981 
39400 8 2.20551 24 0.729327 1.82026 
39500 8 2.19272 20 0.799729 1.91237 
39600 8 2.2976 23 0.72628 1.81454 
39700 8 2.24806 23 0.724549 1.81395 
39800 9 2.30299 25 0.714061 1.80606 
39900 8 2.252 27 0.688788 1.78141 
40000 8 2.2622 25 0.753161 1.86027 
40100 8 2.31742 24 0.654453 1.7177 
40200 8 2.3676 27 0.748243 1.84068 
40300 8 2.33733 27 0.676908 1.73099 
40400 9 2.31397 27 0.759216 1.85734 
40500 8 2.31686 28 0.718017 1.78602 
40600 9 2.29667 26 0.720948 1.78278 
40700 9 2.34786 27 0.69245 1.74608 
40800 8 2.27474 24 0.685028 1.744 
40900 8 2.38511 25 0.721033 1.77405 
41000 9 2.33965 25 0.710226 1.76845 
41100 9 2.35499 26 0.731371 1.79801 
41200 8 2.40442 24 0.724714 1.78219 
41300 8 2.40872 24 0.662548 1.67705 
41400 8 2.39373 25 0.72309 1.78182 
41500 8 2.34329 25 0.698819 1.7479 
41600 8 2.45474 26 0.738536 1.80597 
41700 8 2.38992 24 0.767521 1.8394 
41800 9 2.39038 28 0.710495 1.77439 
41900 9 2.41356 25 0.742842 1.8026 
42000 8 2.33664 24 0.722756 1.78474 
42100 8 2.4024 25 0.736121 1.78705 
42200 8 2.35577 23 0.755601 1.82954 
42300 8 2.36137 27 0.729253 1.7992 
42400 9 2.38112 29 0.776684 1.85288 
42500 8 2.32034 27 0.687984 1.7525 
42600 8 2.39628 25 0.679657 1.72161 
42700 8 2.3661 25 0.661906 1.72143 
42800 8 2.3653 23 0.702101 1.75757 
42900 8 2.37183 24 0.683035 1.7376 
43000 8 2.43848 25 0.666679 1.69519 
43100 8 2.36927 26 0.696329 1.75146 
43200 8 2.38962 25 0.678347 1.7214 
43300 8 2.30893 25 0.690277 1.76051 
43400 8 2.3897 25 0.610236 1.62535 
43500 9 2.3414 27 0.688626 1.75318 
43600 9 2.31204 27 0.585651 1.57825 
43700 9 2.30638 27 0.700477 1.7812 
43800 9 2.26289 28 0.745318 1.84273 
43900 9 2.21304 28 0.770089 1.89143 
44000 10 2.29197 31 0.753582 1.86504 
44100 10 2.27124 32 0.727433 1.84013 
44200 9 2.34188 33 0.726505 1.82602 
44300 10 2.31919 35 0.682134 1.78351 
44400 9 2.33697 34 0.736195 1.84632 
44500 10 2.33942 33 0.709002 1.79719 
44600 10 2.17325 32 0.718419 1.8384 
44700 9 2.29589 32 0.724097 1.81952 
44800 10 2.28677 33 0.7158 1.83097 
44900 9 2.31949 32 0.705639 1.79078 
45000 10 2.37961 33 0.690968 1.78399 
45100 9 2.35987 32 0.703441 1.77626 
45200 9 2.36413 32 0.673719 1.74832 
45300 8 2.30341 32 0.758207 1.84546 
45400 11 2.38052 39 0.714134 1.7849 
45500 9 2.35264 32 0.730881 1.79614 
45600 9 2.33422 36 0.70497 1.77637 
45700 9 2.38664 35 0.66719 1.73411 
45800 10 2.43161 34 0.71473 1.80083 
45900 9 2.44301 36 0.64584 1.69029 
46000 9 2.39092 36 0.731261 1.83615 
46100 9 2.42684 34 0.690749 1.75 
46200 8 2.45401 37 0.708087 1.79249 
46300 9 2.42686 37 0.716604 1.7928 
46400 9 2.32821 35 0.697793 1.79241 
46500 10 2.3871 40 0.776424 1.88838 
46600 11 2.47025 39 0.683966 1.76402 
46700 10 2.32257 38 0.747952 1.85215 
46800 9 2.43932 39 0.672785 1.72052 
46900 9 2.3743 35 0.728955 1.81995 
47000 9 2.38583 34 0.686546 1.7528 
47100 10 2.33759 35 0.679304 1.76274 
47200 8 2.37963 35 0.683272 1.73059 
47300 8 2.29637 35 0.656699 1.74254 
47400 9 2.39399 33 0.696783 1.75943 
47500 8 2.24541 35 0.708768 1.82139 
47600 9 2.41235 34 0.769971 1.87309 
47700 8 2.23223 36 0.733501 1.85177 
47800 8 2.25201 32 0.718861 1.81701 
47900 10 2.23235 36 0.728928 1.85317 
48000 9 2.44671 38 0.684456 1.76367 
48100 10 2.37373 34 0.78553 1.89227 
48200 10 2.4608 43 0.654425 1.70893 
48300 9 2.38534 41 0.774633 1.89785 
48400 10 2.36904 34 0.705339 1.7801 
48500 10 2.34549 37 0.736307 1.84504 
48600 10 2.39271 38 0.745722 1.85426 
48700 8 2.37105 32 0.707106 1.82074 
48800 10 2.26726 37 0.763795 1.88509 
48900 10 2.39679 33 0.62456 1.65934 
49000 10 2.26759 34 0.756092 1.85483 
49100 11 2.36575 37 0.706816 1.76819 
49200 10 2.22474 32 0.799204 1.92446 
49300 11 2.25282 35 0.743129 1.83676 
49400 9 2.3759 36 0.701833 1.75507 
49500 10 2.3464 35 0.753968 1.81641 
49600 12 2.44281 37 0.629475 1.64099 
49700 10 2.28825 38 0.816674 1.92591 
49800 10 2.4165 32 0.697707 1.75332 
49900 10 2.23333 34 0.804869 1.91745 
50000 11 2.29313 36 0.763011 1.85041 
50100 10 2.28497 33 0.731751 1.82842 
50200 8 2.24647 35 0.809173 1.93235 
50300 10 2.37553 37 0.671083 1.76072 
50400 10 2.31364 33 0.763058 1.85808 
50500 12 2.48771 39 0.685968 1.76298 
50600 12 2.40469 39 0.733625 1.82192 
50700 12 2.44216 40 0.760211 1.87703 
50800 12 2.4564 44 0.743564 1.85468 
50900 11 2.49757 41 0.737276 1.8347 
51000 12 2.41875 44 0.665209 1.75104 
51100 10 2.40764 44 0.735317 1.84877 
51200 11 2.35075 42 0.706063 1.81265 
51300 10 2.26635 42 0.735778 1.87073 
51400 10 2.31276 43 0.704647 1.80727 
51500 10 2.38436 37 0.7182 1.83311 
51600 9 2.27957 42 0.718135 1.82868 
51700 10 2.3655 39 0.671452 1.78277 
51800 9 2.26335 36 0.812564 1.96525 
51900 8 2.30357 38 0.699839 1.81507 
52000 8 2.30765 37 0.808628 1.94628 
52100 10 2.31544 36 0.725817 1.84728 
52200 10 2.29758 41 0.731695 1.84308 
52300 9 2.29545 38 0.727654 1.84209 
52400 9 2.21141 34 0.72113 1.84209 
52500 9 2.25897 32 0.754926 1.88369 
52600 9 2.28389 32 0.738458 1.85807 
52700 9 2.29266 30 0.746671 1.86018 
52800 10 2.27975 31 0.745121 1.86778 
52900 9 2.34605 30 0.738548 1.83496 
53000 9 2.30064 28 0.748851 1.86689 
53100 8 2.39511 28 0.71757 1.80466 
