# Avida deme replication data
# Sat Feb 18 01:08:21 2017
#  1: Update [update]
#  2: Number of deme replications [numrepl]
#  3: Mean deme gestation time [gesttime]
#  4: Mean number of births within replicated demes [numbirths]
#  5: Mean heritable merit of replicated demes [merit]
#  6: Mean generation of replicated demes [generation]
#  7: Mean density of replicated demes [density]

40300 95 261.326 248.421 1 133.674 0.997474 
40400 87 264.23 248.011 1 132.506 1 
40500 99 275.465 270.141 1 133.788 0.997172 
40600 88 255.375 238.545 1 133.977 1 
40700 75 268.693 258.867 1 134.44 1 
40800 90 262.811 250.589 1 135.3 0.997333 
40900 84 268.048 264.024 1 134.881 1 
41000 93 262.871 254.505 1 136.043 0.99914 
41100 87 261.391 255.08 1 136.046 0.998621 
41200 88 278.477 278.352 1 137.091 0.999091 
41300 91 262.308 249.396 1 137.198 0.995165 
41400 73 264.274 258.767 1 136.973 1 
41500 93 264.172 258 1 138.72 1 
41600 96 268.979 253.688 1 137.312 0.996667 
41700 81 257.704 253.148 1 139.395 1 
41800 103 262.476 248.34 1 139.544 0.998058 
41900 82 265.341 250.61 1 138.732 0.997073 
42000 107 249.822 234.907 1 140.804 1 
42100 70 274.243 256.271 1 139.8 0.993714 
42200 103 271.67 253.68 1 141.951 0.989903 
42300 82 259.341 238.305 1 140.695 0.999024 
42400 93 259.054 238.892 1 143.387 0.994839 
42500 87 272.287 263.23 1 141.138 1 
42600 86 249.733 222.93 1 143.593 0.993953 
42700 86 261.756 236.012 1 143.384 0.986977 
42800 90 266.767 250.278 1 144.456 1 
42900 74 267.919 253.946 1 144.392 0.999459 
43000 116 269.526 256.302 1 145.043 0.997586 
43100 57 261.877 239.263 1 146.561 0.996491 
43200 91 254.923 237.165 1 145.835 0.998242 
43300 86 262.721 249.198 1 146.058 0.99907 
43400 101 264.891 249.881 1 147.723 1 
43500 76 268.237 264.013 1 146.118 0.996316 
43600 92 262.478 238.674 1 148.413 0.995652 
43700 79 270.114 255.848 1 147.734 0.997975 
43800 74 262.608 249.365 1 148.743 1 
43900 101 252.376 227.891 1 149.584 0.994851 
44000 94 248.809 229.085 1 149.468 0.999574 
44100 97 272.093 252.804 1 150.155 0.996701 
44200 88 268.818 252.125 1 149.716 0.998636 
44300 115 252.191 233.322 1 151.783 1 
44400 62 263.484 245.903 1 149.887 0.993548 
44500 109 245.183 221.321 1 152.991 0.995229 
44600 77 267.649 254.468 1 150.779 1 
44700 88 251.307 229.318 1 153.784 0.993636 
44800 89 273.865 258.449 1 151.955 0.999101 
44900 102 256.363 239.51 1 155.186 0.999608 
45000 86 264.291 227.756 1 152.035 0.974884 
45100 99 245.182 229.96 1 155.768 0.997576 
45200 66 258.909 241.561 1 154.591 0.997576 
45300 119 264.975 246.622 1 155.328 0.988571 
45400 66 277.242 279.833 1 156.5 1 
45500 102 260.706 243.049 1 155.971 0.992157 
45600 82 259.671 258.402 1 157.317 1 
45700 88 264.341 249.398 1 157.545 0.996364 
45800 91 264.835 241.066 1 156.824 0.978462 
45900 89 258.809 239.36 1 158.685 0.986067 
46000 67 259.582 253.985 1 159.03 1 
46100 104 288.077 293.558 1 158.808 1 
46200 76 253.684 224.868 1 160.079 0.986316 
46300 88 267.5 257.489 1 160.636 0.981818 
46400 106 257.698 237.472 1 160.708 1 
46500 70 249.186 236.271 1 161.786 0.993143 
46600 113 249.593 229.841 1 161.425 0.999292 
46700 74 264.324 250.73 1 162.081 0.989189 
46800 101 256.485 237.337 1 162.713 1 
46900 73 247.658 225.123 1 162.685 0.999452 
47000 89 251.551 235.258 1 165 1 
47100 87 254.391 240.931 1 162.632 1 
47200 113 256.274 245.345 1 165.841 0.999646 
47300 81 250.309 229.642 1 163.926 1 
47400 93 245.452 233.011 1 167.226 1 
47500 80 268.75 252.312 1 165.463 1 
47600 119 255.815 245.555 1 166.546 1 
47700 62 239.677 206.339 1 168.79 1 
47800 107 266.271 244.963 1 167.252 0.997009 
47900 83 250.145 237.687 1 168.386 1 
48000 89 248.966 216.663 1 168.629 0.991461 
48100 90 257.089 235.856 1 168.433 0.991556 
48200 97 256.918 239.907 1 169.598 1 
48300 71 257.042 244.634 1 169.521 1 
48400 86 266.047 245.302 1 170.593 0.989767 
48500 110 261.873 242.264 1 169.655 1 
48600 64 280.188 255.125 1 171.641 0.988125 
48700 101 245.901 209.267 1 171.574 0.992475 
48800 70 279.743 268.6 1 170.629 1 
48900 108 246.963 214.833 1 172.389 1 
